OPP
Hard Rock Hallelujah
Stan
Cotton Eye Joe
These Boots Are Made For Walking
When It's Over
No Particular Place to Go
I Know What You Want
Yes! We Have No Bananas
Angel of Harlem
I Started a Joke
Anything
Do it Again
Can't Smile Without You
Adia
Young Hearts Run Free
Better in Time
I Want To Be Wanted (Per Tutta La Vita)
Town Without Pity
The World is Not Enough
Lady (Hear Me Tonight)
In the Air Tonight
The Climb
Let Her Cry
Down Hearted Blues
Shattered Dreams
It's Your Thing
A Hard Day's Night
Give Me the Night
Lady Madonna
3
The Closer I Get To You
Ready Or Not
My Humps
Mood Indigo
"""He Ain't Heavy, He's My Brother"""
Survivor
Paranoid
Rock DJ
Stars
Black Cat
Beautiful Soul
Mendocino
If U Seek Amy
Viva Las Vegas
Un-Break My Heart
I Like That
Livin' La Vida Loca
Give in to Me
Maniac
Day Tripper
Whenever You Need Somebody
I'm Outta Love
Mademoiselle Ninette
Drop the Boy
Welcome to the Jungle
Baby Sittin' Boogie
Fernando
Think
Let's Go Crazy
Honeysuckle Rose
Moonlight Shadow
Eye of the Tiger
You Spin me 'round (Like a Record)
Gimme! Gimme! Gimme! (A Man After Midnight)
Make it Happen
All That She Wants
"""Managua, Nicaragua"""
You're the One
What in the World's Come Over You
Someday (You'll Want Me to Want You)
Humpin' Around
Conga
My Friend Stan
Always On My Mind
Sail On
Waterfalls
All I Want For Christmas is my Two Front Teeth
The Trolley Song
Everybody Wants to Rule the World
Holding Back the Years
Una Paloma Blanca
Human
Funkytown
Eres Tu (Touch The Wind)
One Way Ticket
My Happiness
So Tired
What is Life?
There U Go
Wake Up Call
Where the Wild Roses Grow
Take On Me
I Don't Wanna Know
The Hindu Times
In the Navy
"""It's Been a Long, Long Time"""
Smack My Bitch Up
Take Care
Witch Queen of New Orleans
Lay Lady Lay
It's Five O'clock
Chewy Chewy
So What
Hey There Delilah
My Dreams Are Getting Better All the Time
Ch-Check it Out
Shoop
Question
In Your Eyes
Footloose
Shadow Of The Day
The Loveliest Night Of The Year
"""Bye, Bye, Bye"""
Kung Fu Fighting
Get Down Tonight
Don't Stand So Close to Me
I am a Rock
Scar Tissue
Undercover of the Night
For All We Know
Ashes to Ashes
Patches
TSOP (The Sound of Philadelphia)
My All
Catch Us If You Can
Stardust
Almost Here
Ghetto Supastar (That is What You Are)
All Right Now
I Wanna Be Rich
How Can I Fall
Light My Fire
Walk of Life
A View to a Kill
Happy
I Don't Wanna Fight
Get Down
The Twist (Yo Twist)
Like a Virgin
The Best of Times
We Belong Together
I Got You Babe
Fly
Come & Get Your Love
Hand in My Pocket
Unskinny Bop
Rhiannon (Will You Ever Win)
Along the Navajo Trail
Goldeneye
Jet Airliner
You're Makin' Me High
Bennie & the Jets
Wanna Be Startin' Something
Can You Feel the Love Tonight
Into Each Life Some Rain Must Fall
Accidentally in Love
Galvanize
Get Off
Knock Knock Who's There?
Before The Next Teardrop Falls
Nu Flow
Hazard
I Don't Want to Be
Porque te vas
Stuck With You
Classical Gas
If You Love Me (Let Me Know)
Burning Heart
Night Fever
Crazy Little Thing Called Love
Another Sad Love Song
Lightnin' Strikes
American Woman
Keep Searchin' (We'll Follow the Sun)
Sometimes You Can't Make it On Your Own
Another Brick in the Wall (part 2)
Goodbye Yellow Brick Road
Wooden Heart
Brass In Pocket (I'm Special)
Twisted
I've Got My Love to Keep Me Warm
Unwell
Year of the Cat
Love... Thy Will Be Done
I Get So Lonely (When I Dream About You)
Amazing Grace
I'm Alive
Stop Draggin' My Heart Around
Touch Me in the Morning
Whenever I Call You 'friend'
Sympathy
Don't Know Much
Thinking of You
Silly Love Songs
I Write Sins Not Tragedies
Bits & Pieces
Are You Sure?
If You Don't Know Me By Now
Bend It
Keep it Together
I Knew I Loved You
Happy Wanderer
Heart & Soul
Rose Marie
We Are Young
Linda
The Last Farewell
Teenage Dream
Sign Your Name
You Are My Sunshine
You Won't See Me Cry
TROUBLE
Milkshake
This Time I Know It's For Real
Millennium
Yo-yo
Are You Lonesome Tonight?
Morning Has Broken
Never Never Gonna Give Ya Up
Drive By
Let Your Love Flow
